Title				Author				Length(s)			URL
Basique				Micky Mouse Operation		218				https://www.youtube.com/watch?v=uSIbpqNB5Fo
#Becoming one of The People	James Horner			461				https://www.youtube.com/watch?v=5yR3jP_OxUU
#Layla				Eric Clapton			289				https://www.youtube.com/watch?v=AVd4WY_Y9Dc
Wild Wild World			Cat Stevens			229				https://www.youtube.com/watch?v=k_0U3DlLFSU
Sonne				Rammstein			252				https://www.youtube.com/watch?v=StZcUAPRRac
Praise You			Fatboy Slim			324				https://www.youtube.com/watch?v=CAU_JLKC6HA
Triumphant			Royksopp			261				https://www.youtube.com/watch?v=8BXonfJdFCM
Moment of peace			Gregorian			237				https://www.youtube.com/watch?v=TL1aNVSGKWA
#Higher Love			Steve Winwood			253				https://www.youtube.com/watch?v=k9olaIio3l8
Engel				Gregorian			307				https://www.youtube.com/watch?v=LVA_ShNXGtk
#Spanish Armada			Ratatat				178				https://www.youtube.com/watch?v=-BFvxvFYtyE
Shadow on the sun		Audioslave			343				https://www.youtube.com/watch?v=dfF4t9-wpCM
Riverside Drive			Peter Buffett			418				https://www.youtube.com/watch?v=fmdcQ2c4yrc
Ocean to Ocean			Tori Amos			210				https://www.youtube.com/watch?v=OMKXIm3qTwo
Nearer My God to Thee		Sharon Singers			306				https://www.youtube.com/watch?v=rwLl5nY5WPI
Unforgiven			Angry String orchestra		347				https://www.youtube.com/watch?v=j_JRcAEuiYA
Clubbed to Death		Rob Dougan			447				https://www.youtube.com/watch?v=9FuiZfSkhOw
#Waterbound			The Fretless			204				https://www.youtube.com/watch?v=380I5IoX1Ho
Momma Sed			Puscifer			212				https://www.youtube.com/watch?v=dR3ccmWmLhk
Annihilation			A Perfect Circle		133				https://www.youtube.com/watch?v=K2mL9pSjrwU
#Mona Lisa Overdrive		Juno Reactor			286				https://www.youtube.com/watch?v=HLeI2e2cPVw
Silence				Tiesto				342				https://www.youtube.com/watch?v=Q5EC2OnXrIY
#Magic Dance			David Bowie			252				https://www.youtube.com/watch?v=j6NqnYYmSVE
The Humbling River		Puscifer			245				https://www.youtube.com/watch?v=O0YxeTjFn70
Big country instrumental	Edgar Meyer			240				https://www.youtube.com/watch?v=Z4sA7l9TC-0
Strobe				Deadmou5			636				https://www.youtube.com/watch?v=tKi9Z-f6qX4
Toxicity			System of a Down		232				https://www.youtube.com/watch?v=64FrYGRrKVY
#Cherry				Ratatat				338				https://www.youtube.com/watch?v=GNO7jTa--io
#Another Day In Paradise	Phil Collins			289				https://www.youtube.com/watch?v=Qt2mbGP6vFI 
#Dictaphones Lament		Tycho				311				https://www.youtube.com/watch?v=2nCtPJUyolE
When Im Small			Phantogram			251				https://www.youtube.com/watch?v=28tZ-S1LFok
Pot				Tool				383				https://www.youtube.com/watch?v=civuoU_NE38
Hotel California		The Eagles			391				https://www.youtube.com/watch?v=BciS5krYL80
Jambi				Tool				450				https://www.youtube.com/watch?v=ed_UWFr13pU
Chop Suey			System of a Down		208				https://www.youtube.com/watch?v=CSvFpBOe8eY
Aerials				System of a Down		237				https://www.youtube.com/watch?v=zk62uUqcNyo
Come Sail Away			Styx				261				https://www.youtube.com/watch?v=e5MAg_yWsq8
